data,valor,percentatge,codiEstacio,codiVariable
1991-07-19Z,0.0,100,UB,1300
1991-07-20Z,0.0,100,UB,1300
1991-07-21Z,0.0,100,UB,1300
1991-07-22Z,0.0,100,UB,1300
1991-07-23Z,0.0,100,UB,1300
1991-07-24Z,0.0,100,UB,1300
1991-07-25Z,0.2,100,UB,1300
1991-07-26Z,1.4,100,UB,1300
1991-07-27Z,0.0,100,UB,1300
1991-07-28Z,0.0,100,UB,1300
1991-07-29Z,21.9,100,UB,1300
1991-07-30Z,2.3,100,UB,1300
1991-07-31Z,0.4,100,UB,1300
1991-07-01Z,0.0,100,UR,1300
1991-07-02Z,0.0,100,UR,1300
1991-07-03Z,0.2,100,UR,1300
1991-07-04Z,0.0,100,UR,1300
1991-07-05Z,0.0,100,UR,1300
1991-07-06Z,0.0,100,UR,1300
1991-07-07Z,0.0,100,UR,1300
1991-07-08Z,0.0,100,UR,1300
1991-07-09Z,0.0,100,UR,1300
1991-07-10Z,0.0,100,UR,1300
1991-07-11Z,0.0,100,UR,1300
1991-07-12Z,0.0,100,UR,1300
1991-07-13Z,0.0,100,UR,1300
1991-07-14Z,0.0,100,UR,1300
1991-07-15Z,0.0,100,UR,1300
1991-07-16Z,0.0,100,UR,1300
1991-07-17Z,0.0,100,UR,1300
1991-07-18Z,0.0,100,UR,1300
1991-07-19Z,0.0,100,UR,1300
1991-07-20Z,0.0,100,UR,1300
1991-07-21Z,0.0,100,UR,1300
1991-07-22Z,0.0,100,UR,1300
1991-07-23Z,0.0,100,UR,1300
1991-07-24Z,0.0,100,UR,1300
1991-07-25Z,2.4,100,UR,1300
1991-07-26Z,0.4,100,UR,1300
1991-07-27Z,0.0,100,UR,1300
1991-07-28Z,0.0,100,UR,1300
1991-07-29Z,0.0,100,UR,1300
1991-07-30Z,0.0,100,UR,1300
1991-07-31Z,0.0,100,UR,1300
1991-07-01Z,0.0,100,US,1300
1991-07-02Z,7.4,100,US,1300
1991-07-03Z,0.0,100,US,1300
1991-07-04Z,0.0,100,US,1300
1991-07-05Z,0.0,100,US,1300
1991-07-06Z,0.0,100,US,1300
1991-07-07Z,0.0,100,US,1300
1991-07-08Z,0.0,100,US,1300
1991-07-09Z,0.0,100,US,1300
1991-07-10Z,0.0,100,US,1300
1991-07-11Z,0.0,100,US,1300
1991-07-12Z,0.2,100,US,1300
1991-07-13Z,0.0,100,US,1300
1991-07-14Z,0.0,100,US,1300
1991-07-15Z,0.0,100,US,1300
1991-07-16Z,0.0,100,US,1300
1991-07-17Z,0.0,100,US,1300
1991-07-18Z,0.0,100,US,1300
1991-07-19Z,0.0,100,US,1300
1991-07-20Z,0.0,100,US,1300
1991-07-21Z,0.0,100,US,1300
1991-07-22Z,0.0,100,US,1300
1991-07-23Z,0.0,100,US,1300
1991-07-24Z,0.0,100,US,1300
1991-07-25Z,0.0,100,US,1300
1991-07-26Z,0.0,100,US,1300
1991-07-27Z,0.0,100,US,1300
1991-07-28Z,2.2,100,US,1300
1991-07-29Z,0.0,100,US,1300
1991-07-30Z,0.0,100,US,1300
1991-07-31Z,0.0,100,US,1300
1991-07-01Z,0.0,100,UX,1300
1991-07-03Z,0.0,100,UX,1300
1991-07-04Z,0.0,100,UX,1300
1991-07-05Z,0.0,100,UX,1300
1991-07-06Z,0.0,100,UX,1300
1991-07-07Z,0.0,100,UX,1300
1991-07-08Z,0.0,100,UX,1300
1991-07-09Z,0.0,100,UX,1300
1991-07-10Z,0.0,100,UX,1300
1991-07-11Z,0.0,100,UX,1300
1991-07-13Z,0.0,100,UX,1300
1991-07-14Z,0.0,100,UX,1300
1991-07-15Z,0.0,100,UX,1300
1991-07-16Z,0.0,100,UX,1300
1991-07-17Z,0.0,100,UX,1300
1991-07-18Z,0.0,100,UX,1300
1991-07-19Z,0.0,100,UX,1300
1991-07-20Z,0.0,100,UX,1300
1991-07-21Z,0.0,100,UX,1300
1991-07-22Z,0.0,100,UX,1300
1991-07-23Z,0.0,100,UX,1300
1991-07-24Z,0.0,100,UX,1300
1991-07-25Z,0.0,100,UX,1300
1991-07-26Z,0.0,100,UX,1300
1991-07-29Z,0.0,100,UX,1300
1991-07-30Z,0.0,100,UX,1300
1991-07-31Z,0.0,100,UX,1300
1991-07-01Z,0.0,100,V1,1300
1991-07-02Z,0.2,100,V1,1300
1991-07-03Z,0.2,100,V1,1300
1991-07-04Z,0.0,100,V1,1300
1991-07-05Z,0.0,100,V1,1300
1991-07-06Z,0.0,100,V1,1300
1991-07-07Z,0.0,100,V1,1300
1991-07-08Z,0.0,100,V1,1300
1991-07-09Z,0.0,100,V1,1300
1991-07-10Z,0.0,100,V1,1300
1991-07-11Z,0.0,100,V1,1300
1991-07-12Z,0.0,100,V1,1300
1991-07-13Z,0.0,100,V1,1300
1991-07-14Z,0.0,100,V1,1300
1991-07-15Z,0.0,100,V1,1300
1991-07-16Z,0.0,100,V1,1300
1991-07-17Z,0.0,100,V1,1300
1991-07-18Z,0.0,100,V1,1300
1991-07-19Z,0.0,100,V1,1300
1991-07-20Z,0.0,100,V1,1300
1991-07-21Z,0.0,100,V1,1300
1991-07-22Z,0.0,100,V1,1300
1991-07-23Z,0.0,100,V1,1300
1991-07-24Z,0.0,100,V1,1300
1991-07-25Z,0.0,100,V1,1300
1991-07-26Z,0.0,100,V1,1300
1991-07-27Z,0.0,100,V1,1300
1991-07-28Z,0.0,100,V1,1300
1991-07-29Z,0.0,100,V1,1300
1991-07-30Z,0.0,100,V1,1300
1991-07-31Z,0.0,100,V1,1300
1991-07-01Z,0.0,100,V8,1300
1991-07-02Z,1.0,100,V8,1300
1991-07-03Z,0.0,100,V8,1300
1991-07-04Z,0.0,100,V8,1300
1991-07-05Z,0.6,100,V8,1300
1991-07-06Z,0.0,100,V8,1300
1991-07-07Z,0.0,100,V8,1300
1991-07-08Z,0.0,100,V8,1300
1991-07-09Z,0.0,100,V8,1300
1991-07-10Z,0.0,100,V8,1300
1991-07-11Z,0.6,100,V8,1300
1991-07-12Z,0.0,100,V8,1300
1991-07-13Z,0.0,100,V8,1300
1991-07-14Z,0.0,100,V8,1300
1991-07-15Z,0.0,100,V8,1300
1991-07-16Z,0.0,100,V8,1300
1991-07-17Z,0.0,100,V8,1300
1991-07-18Z,0.4,100,V8,1300
1991-07-19Z,0.0,100,V8,1300
1991-07-20Z,0.0,100,V8,1300
1991-07-21Z,0.0,100,V8,1300
1991-07-22Z,0.0,100,V8,1300
1991-07-23Z,0.0,100,V8,1300
1991-07-24Z,0.0,100,V8,1300
1991-07-25Z,0.0,100,V8,1300
1991-07-26Z,1.0,100,V8,1300
1991-07-27Z,0.0,100,V8,1300
1991-07-28Z,0.0,100,V8,1300
1991-07-29Z,0.0,100,V8,1300
1991-07-30Z,0.0,100,V8,1300
1991-07-31Z,0.0,100,V8,1300
1991-07-01Z,0.0,100,VD,1300
1991-07-02Z,0.0,100,VD,1300
1991-07-03Z,0.0,100,VD,1300
1991-07-04Z,0.0,100,VD,1300
1991-07-05Z,0.0,100,VD,1300
1991-07-06Z,0.0,100,VD,1300
1991-07-07Z,0.0,100,VD,1300
1991-07-08Z,0.0,100,VD,1300
1991-07-09Z,0.0,100,VD,1300
1991-07-10Z,0.0,100,VD,1300
1991-07-11Z,0.0,100,VD,1300
1991-07-12Z,0.0,100,VD,1300
1991-07-13Z,0.0,100,VD,1300
1991-07-14Z,0.0,100,VD,1300
1991-07-15Z,0.0,100,VD,1300
1991-07-16Z,0.0,100,VD,1300
1991-07-17Z,0.0,100,VD,1300
1991-07-18Z,0.0,100,VD,1300
1991-07-19Z,0.0,100,VD,1300
1991-07-20Z,0.0,100,VD,1300
1991-07-21Z,0.0,100,VD,1300
1991-07-22Z,0.0,100,VD,1300
1991-07-23Z,0.0,100,VD,1300
1991-07-24Z,0.0,100,VD,1300
1991-07-25Z,0.0,100,VD,1300
1991-07-26Z,0.0,100,VD,1300
1991-07-27Z,0.0,100,VD,1300
1991-07-28Z,0.0,100,VD,1300
1991-07-29Z,0.0,100,VD,1300
1991-07-30Z,0.0,100,VD,1300
1991-07-31Z,0.0,100,VD,1300
1991-07-01Z,0.0,100,VI,1300
1991-07-02Z,1.0,100,VI,1300
1991-07-03Z,0.2,100,VI,1300
1991-07-04Z,0.0,100,VI,1300
1991-07-05Z,0.0,100,VI,1300
1991-07-06Z,0.0,100,VI,1300
1991-07-07Z,0.0,100,VI,1300
1991-07-08Z,0.0,100,VI,1300
1991-07-09Z,0.0,100,VI,1300
1991-07-10Z,0.0,100,VI,1300
1991-07-11Z,0.2,100,VI,1300
1991-07-12Z,0.0,100,VI,1300
1991-07-13Z,0.0,100,VI,1300
1991-07-14Z,0.0,100,VI,1300
1991-07-15Z,0.0,100,VI,1300
1991-07-16Z,0.0,100,VI,1300
1991-07-17Z,0.0,100,VI,1300
1991-07-18Z,0.0,100,VI,1300
1991-07-19Z,0.0,100,VI,1300
1991-07-20Z,0.0,100,VI,1300
1991-07-21Z,0.0,100,VI,1300
1991-07-22Z,0.0,100,VI,1300
1991-07-23Z,0.0,100,VI,1300
1991-07-24Z,0.0,100,VI,1300
1991-07-25Z,0.0,100,VI,1300
1991-07-26Z,0.0,100,VI,1300
1991-07-27Z,0.0,100,VI,1300
1991-07-28Z,0.0,100,VI,1300
1991-07-29Z,0.0,100,VI,1300
1991-07-30Z,0.0,100,VI,1300
1991-07-31Z,0.0,100,VI,1300
1991-07-01Z,0.0,100,VK,1300
1991-07-02Z,0.4,100,VK,1300
1991-07-03Z,0.6,100,VK,1300
1991-07-04Z,0.0,100,VK,1300
1991-07-05Z,0.6,100,VK,1300
1991-07-06Z,0.0,100,VK,1300
1991-07-07Z,0.0,100,VK,1300
1991-07-08Z,0.0,100,VK,1300
1991-07-09Z,0.0,100,VK,1300
1991-07-10Z,0.0,100,VK,1300
1991-07-11Z,0.0,100,VK,1300
1991-07-12Z,0.0,100,VK,1300
1991-07-13Z,0.0,100,VK,1300
1991-07-14Z,0.0,100,VK,1300
1991-07-15Z,0.0,100,VK,1300
1991-07-16Z,0.0,100,VK,1300
1991-07-17Z,0.0,100,VK,1300
1991-07-18Z,0.0,100,VK,1300
1991-07-19Z,0.0,100,VK,1300
1991-07-20Z,0.0,100,VK,1300
1991-07-21Z,0.0,100,VK,1300
1991-07-22Z,0.0,100,VK,1300
1991-07-23Z,0.0,100,VK,1300
1991-07-24Z,0.0,100,VK,1300
1991-07-25Z,0.0,100,VK,1300
1991-07-26Z,0.0,100,VK,1300
1991-07-27Z,0.0,100,VK,1300
1991-07-28Z,0.0,100,VK,1300
1991-07-29Z,0.0,100,VK,1300
1991-07-30Z,0.0,100,VK,1300
1991-07-31Z,0.0,100,VK,1300
1991-07-01Z,0.0,100,VQ,1300
1991-07-02Z,2.8,100,VQ,1300
1991-07-03Z,0.0,100,VQ,1300
1991-07-04Z,0.0,100,VQ,1300
1991-07-05Z,0.0,100,VQ,1300
1991-07-06Z,0.0,100,VQ,1300
1991-07-07Z,0.0,100,VQ,1300
1991-07-08Z,0.0,100,VQ,1300
1991-07-09Z,0.0,100,VQ,1300
1991-07-10Z,0.0,100,VQ,1300
1991-07-11Z,0.0,100,VQ,1300
1991-07-12Z,0.0,100,VQ,1300
1991-07-13Z,0.0,100,VQ,1300
1991-07-14Z,0.0,100,VQ,1300
1991-07-15Z,0.0,100,VQ,1300
1991-07-16Z,0.0,100,VQ,1300
1991-07-17Z,0.0,100,VQ,1300
1991-07-18Z,0.0,100,VQ,1300
1991-07-19Z,0.0,100,VQ,1300
1991-07-20Z,0.0,100,VQ,1300
1991-07-21Z,0.0,100,VQ,1300
1991-07-22Z,0.0,100,VQ,1300
1991-07-23Z,0.2,100,VQ,1300
1991-07-24Z,0.0,100,VQ,1300
1991-07-25Z,0.0,100,VQ,1300
1991-07-26Z,0.0,100,VQ,1300
1991-07-27Z,0.0,100,VQ,1300
1991-07-28Z,0.0,100,VQ,1300
1991-07-29Z,0.0,100,VQ,1300
1991-07-30Z,0.0,100,VQ,1300
1991-07-31Z,0.0,100,VQ,1300
1991-07-01Z,0.0,100,VW,1300
1991-07-02Z,0.0,100,VW,1300
1991-07-03Z,0.0,100,VW,1300
1991-07-04Z,0.0,100,VW,1300
1991-07-05Z,0.0,100,VW,1300
1991-07-06Z,0.0,100,VW,1300
1991-07-07Z,0.0,100,VW,1300
1991-07-08Z,0.0,100,VW,1300
1991-07-09Z,0.0,100,VW,1300
1991-07-10Z,0.0,100,VW,1300
1991-07-11Z,0.0,100,VW,1300
1991-07-12Z,0.0,100,VW,1300
1991-07-13Z,0.0,100,VW,1300
1991-07-14Z,0.0,100,VW,1300
1991-07-15Z,0.0,100,VW,1300
1991-07-16Z,0.0,100,VW,1300
1991-07-17Z,0.0,100,VW,1300
1991-07-18Z,0.0,100,VW,1300
1991-07-19Z,0.0,100,VW,1300
1991-07-20Z,0.0,100,VW,1300
1991-07-21Z,0.0,100,VW,1300
1991-07-22Z,0.0,100,VW,1300
1991-07-23Z,0.0,100,VW,1300
1991-07-24Z,0.0,100,VW,1300
1991-07-25Z,6.4,100,VW,1300
1991-07-26Z,0.2,100,VW,1300
1991-07-27Z,0.0,100,VW,1300
1991-07-28Z,0.0,100,VW,1300
1991-07-29Z,0.0,100,VW,1300
1991-07-30Z,27.8,100,VW,1300
1991-07-31Z,0.0,100,VW,1300
1991-07-23Z,0.0,100,U9,1300
1991-07-24Z,0.0,100,U9,1300
1991-07-25Z,0.0,100,U9,1300
1991-07-26Z,0.0,100,U9,1300
1991-07-27Z,0.0,100,U9,1300
1991-07-28Z,2.0,100,U9,1300
1991-07-29Z,0.0,100,U9,1300
1991-07-30Z,0.0,100,U9,1300
1991-07-31Z,0.0,100,U9,1300
