data,valor,percentatge,codiEstacio,codiVariable
2006-03-01Z,0.0,100.0,C6,1300
2006-03-02Z,0.0,100.0,C6,1300
2006-03-03Z,0.0,100.0,C6,1300
2006-03-04Z,0.0,100.0,C6,1300
2006-03-05Z,0.8,100.0,C6,1300
2006-03-06Z,0.0,100.0,C6,1300
2006-03-07Z,0.0,100.0,C6,1300
2006-03-08Z,0.0,100.0,C6,1300
2006-03-09Z,0.0,100.0,C6,1300
2006-03-10Z,0.0,100.0,C6,1300
2006-03-11Z,0.0,100.0,C6,1300
2006-03-12Z,0.0,100.0,C6,1300
2006-03-13Z,0.0,100.0,C6,1300
2006-03-14Z,0.0,100.0,C6,1300
2006-03-15Z,0.0,100.0,C6,1300
2006-03-16Z,0.0,100.0,C6,1300
2006-03-17Z,0.0,100.0,C6,1300
2006-03-18Z,0.6,100.0,C6,1300
2006-03-19Z,0.0,100.0,C6,1300
2006-03-20Z,4.0,100.0,C6,1300
2006-03-21Z,0.0,100.0,C6,1300
2006-03-22Z,0.0,100.0,C6,1300
2006-03-23Z,0.4,100.0,C6,1300
2006-03-24Z,0.0,100.0,C6,1300
2006-03-25Z,0.0,100.0,C6,1300
2006-03-26Z,0.0,100.0,C6,1300
2006-03-27Z,0.2,100.0,C6,1300
2006-03-28Z,0.0,100.0,C6,1300
2006-03-29Z,0.0,100.0,C6,1300
2006-03-30Z,0.0,100.0,C6,1300
2006-03-31Z,0.0,100.0,C6,1300
2006-03-01Z,0.0,100.0,C7,1300
2006-03-02Z,0.0,100.0,C7,1300
2006-03-03Z,0.0,100.0,C7,1300
2006-03-04Z,0.6,100.0,C7,1300
2006-03-05Z,0.8,100.0,C7,1300
2006-03-06Z,0.0,100.0,C7,1300
2006-03-07Z,0.0,100.0,C7,1300
2006-03-08Z,0.0,100.0,C7,1300
2006-03-09Z,0.0,100.0,C7,1300
2006-03-10Z,0.0,100.0,C7,1300
2006-03-11Z,0.0,100.0,C7,1300
2006-03-12Z,0.0,100.0,C7,1300
2006-03-13Z,0.0,100.0,C7,1300
2006-03-14Z,0.0,100.0,C7,1300
2006-03-15Z,0.0,100.0,C7,1300
2006-03-16Z,0.0,100.0,C7,1300
2006-03-17Z,0.0,100.0,C7,1300
2006-03-18Z,1.2,100.0,C7,1300
2006-03-19Z,0.0,100.0,C7,1300
2006-03-20Z,5.8,100.0,C7,1300
2006-03-21Z,0.2,100.0,C7,1300
2006-03-22Z,0.0,100.0,C7,1300
2006-03-23Z,0.2,100.0,C7,1300
2006-03-24Z,0.0,100.0,C7,1300
2006-03-25Z,0.0,100.0,C7,1300
2006-03-26Z,0.0,100.0,C7,1300
2006-03-27Z,0.0,100.0,C7,1300
2006-03-28Z,0.0,100.0,C7,1300
2006-03-29Z,0.0,100.0,C7,1300
2006-03-30Z,0.0,100.0,C7,1300
2006-03-31Z,0.0,100.0,C7,1300
2006-03-01Z,0.0,100.0,C8,1300
2006-03-02Z,0.0,100.0,C8,1300
2006-03-03Z,0.0,100.0,C8,1300
2006-03-04Z,1.2,100.0,C8,1300
2006-03-05Z,0.4,100.0,C8,1300
2006-03-06Z,0.0,100.0,C8,1300
2006-03-07Z,0.0,100.0,C8,1300
2006-03-08Z,0.0,100.0,C8,1300
2006-03-09Z,0.0,100.0,C8,1300
2006-03-10Z,0.0,100.0,C8,1300
2006-03-11Z,0.0,100.0,C8,1300
